time_tag,bt,bx_gse,by_gse,bz_gse,theta_gse,phi_gse,bx_gsm,by_gsm,bz_gsm,theta_gsm,phi_gsm
1,3.77,-3.43,1.4,-0.67,-10.29,157.78,-3.43,0.93,-1.24,-19.27,164.78
2,3.74,-3.42,1.44,-0.46,-7.06,157.13,-3.42,1.07,-1.07,-16.67,162.65
3,3.69,-3.39,1.28,-0.65,-10.15,159.35,-3.39,0.84,-1.17,-18.45,166.17
4,3.62,-3.29,1.31,-0.76,-12.06,158.32,-3.29,0.81,-1.27,-20.6,166.13
5,3.62,-3.35,1.2,-0.62,-9.89,160.24,-3.35,0.78,-1.11,-17.81,166.87
6,3.62,-3.34,1.15,-0.77,-12.26,160.93,-3.34,0.67,-1.21,-19.61,168.64
7,3.66,-3.32,1.33,-0.8,-12.65,158.13,-3.32,0.81,-1.33,-21.21,166.25
8,3.64,-3.23,1.42,-0.88,-14.01,156.21,-3.23,0.86,-1.44,-23.28,165.13
9,3.68,-3.24,1.56,-0.79,-12.38,154.25,-3.24,1.02,-1.42,-22.7,162.48
10,3.71,-3.31,1.55,-0.67,-10.38,154.9,-3.31,1.07,-1.31,-20.63,162.13
11,3.69,-3.26,1.63,-0.59,-9.16,153.38,-3.26,1.18,-1.27,-20.2,160.12
12,3.69,-3.34,1.51,-0.45,-6.96,155.71,-3.34,1.13,-1.09,-17.2,161.28
13,3.8200000000000003,-3.5300000000000002,1.32,-0.5700000000000001,-8.57,159.57,-3.5300000000000002,0.91,-1.11,-16.94,165.62
14,3.7800000000000002,-3.47,1.34,-0.6900000000000001,-10.52,158.85,-3.47,0.87,-1.23,-19.0,165.88
15,3.73,-3.42,1.34,-0.63,-9.75,158.59,-3.42,0.9,-1.18,-18.43,165.27
16,3.75,-3.43,1.37,-0.64,-9.82,158.16,-3.43,0.92,-1.2,-18.68,164.91
17,3.76,-3.37,1.45,-0.79,-12.16,156.69,-3.37,0.92,-1.37,-21.42,164.66
18,3.7800000000000002,-3.32,1.6800000000000002,-0.67,-10.18,153.26,-3.32,1.18,-1.37,-21.17,160.49
19,3.71,-3.35,1.49,-0.52,-8.09,155.99,-3.35,1.08,-1.15,-18.1,162.07
20,3.74,-3.42,1.38,-0.65,-9.93,158.03,-3.42,0.93,-1.21,-18.84,164.84
21,3.7800000000000002,-3.37,1.55,-0.72,-11.04,155.26,-3.37,1.05,-1.3599999999999999,-21.06,162.78
22,3.73,-3.35,1.54,-0.53,-8.13,155.27,-3.35,1.13,-1.18,-18.44,161.42
23,3.74,-3.46,1.35,-0.43,-6.58,158.65,-3.46,1.0,-1.0,-15.57,163.84
24,3.76,-3.51,1.23,-0.53,-8.05,160.7,-3.51,0.85,-1.03,-15.97,166.41
25,3.75,-3.44,1.33,-0.66,-10.11,158.82,-3.44,0.88,-1.2,-18.65,165.66
26,3.7,-3.35,1.45,-0.6,-9.37,156.53,-3.35,1.01,-1.2,-19.0,163.18
27,3.73,-3.4,1.4,-0.6,-9.27,157.55,-3.4,0.97,-1.18,-18.46,164.08
28,3.73,-3.37,1.46,-0.61,-9.5,156.58,-3.37,1.01,-1.22,-19.1,163.28
29,3.73,-3.38,1.51,-0.5,-7.68,155.9,-3.38,1.11,-1.1400000000000001,-17.76,161.79
30,3.7800000000000002,-3.39,1.5899999999999999,-0.54,-8.23,154.91,-3.39,1.16,-1.21,-18.69,161.13
31,3.76,-3.32,1.6600000000000001,-0.58,-8.88,153.48,-3.32,1.2,-1.28,-19.9,160.08
32,3.73,-3.27,1.73,-0.44,-6.79,152.18,-3.27,1.33,-1.19,-18.57,157.89
33,3.77,-3.36,1.6400000000000001,-0.47000000000000003,-7.15,154.01,-3.36,1.24,-1.17,-18.12,159.79
34,3.83,-3.41,1.6400000000000001,-0.58,-8.7,154.33,-3.41,1.19,-1.27,-19.37,160.8
35,3.8200000000000003,-3.38,1.65,-0.67,-10.06,153.96,-3.38,1.16,-1.35,-20.75,161.08
36,3.87,-3.4,1.72,-0.68,-10.13,153.12,-3.4,1.21,-1.4,-21.18,160.33
37,3.95,-3.49,1.77,-0.56,-8.09,153.07,-3.49,1.32,-1.31,-19.36,159.32
38,3.91,-3.48,1.69,-0.52,-7.72,154.14,-3.48,1.26,-1.24,-18.57,160.17
39,3.8200000000000003,-3.4,1.6600000000000001,-0.52,-7.86,153.94,-3.4,1.23,-1.23,-18.78,160.05
40,3.83,-3.39,1.6600000000000001,-0.61,-9.11,153.89,-3.39,1.2,-1.31,-19.93,160.58
41,3.8200000000000003,-3.38,1.69,-0.56,-8.4,153.44,-3.38,1.24,-1.27,-19.48,159.82
42,3.7,-3.27,1.6600000000000001,-0.5,-7.76,153.08,-3.27,1.24,-1.21,-19.06,159.19
43,3.64,-3.26,1.54,-0.52,-8.18,154.67,-3.26,1.13,-1.17,-18.75,160.88
44,3.66,-3.32,1.43,-0.6,-9.45,156.68,-3.32,0.99,-1.19,-19.01,163.35
45,3.65,-3.3,1.3900000000000001,-0.73,-11.54,157.16,-3.3,0.9,-1.29,-20.66,164.8
46,3.74,-3.34,1.51,-0.74,-11.43,155.71,-3.34,1.0,-1.35,-21.21,163.4
47,3.7,-3.2800000000000002,1.56,-0.71,-11.03,154.47,-3.2800000000000002,1.06,-1.35,-21.4,162.03
48,3.74,-3.3,1.62,-0.67,-10.35,153.83,-3.3,1.13,-1.34,-21.06,161.11
49,3.81,-3.38,1.6,-0.72,-10.83,154.69,-3.38,1.09,-1.37,-21.12,162.15
50,3.76,-3.37,1.55,-0.64,-9.74,155.35,-3.37,1.08,-1.28,-19.85,162.25
51,3.69,-3.3,1.5,-0.64,-9.99,155.55,-3.3,1.04,-1.26,-19.99,162.56
52,3.73,-3.37,1.53,-0.53,-8.15,155.52,-3.37,1.12,-1.18,-18.36,161.66
53,3.73,-3.36,1.52,-0.5,-7.79,155.71,-3.36,1.11,-1.15,-17.95,161.67
54,3.81,-3.47,1.44,-0.6,-9.07,157.41,-3.47,1.01,-1.2,-18.35,163.85
55,3.92,-3.58,1.44,-0.64,-9.4,158.06,-3.58,0.99,-1.23,-18.35,164.62
56,4.0,-3.66,1.47,-0.6900000000000001,-9.94,158.03,-3.66,0.99,-1.29,-18.85,164.84
57,3.9,-3.5700000000000003,1.44,-0.66,-9.79,158.02,-3.5700000000000003,0.97,-1.25,-18.72,164.76
58,3.76,-3.42,1.46,-0.5700000000000001,-8.71,156.86,-3.42,1.03,-1.18,-18.27,163.17
59,3.7199999999999998,-3.41,1.38,-0.5700000000000001,-8.76,157.96,-3.41,0.96,-1.1400000000000001,-17.83,164.22
60,3.69,-3.38,1.21,-0.8300000000000001,-13.0,160.29,-3.38,0.6900000000000001,-1.29,-20.56,168.43
61,3.91,-3.44,1.65,-0.8300000000000001,-12.29,154.37,-3.44,1.08,-1.5,-22.56,162.55
62,3.96,-3.59,1.6099999999999999,-0.38,-5.47,155.91,-3.59,1.25,-1.08,-15.77,160.79
63,3.92,-3.68,1.23,-0.54,-7.87,161.51,-3.68,0.85,-1.04,-15.44,167.07
64,3.9699999999999998,-3.73,1.18,-0.68,-9.86,162.43,-3.73,0.73,-1.15,-16.8,168.86
65,3.87,-3.58,1.23,-0.81,-12.02,161.11,-3.58,0.72,-1.28,-19.31,168.7
66,3.7800000000000002,-3.48,1.25,-0.79,-12.11,160.19,-3.48,0.75,-1.28,-19.8,167.89
67,3.8,-3.49,1.21,-0.91,-13.9,160.92,-3.49,0.65,-1.37,-21.07,169.45
68,3.8,-3.34,1.5,-1.03,-15.76,155.82,-3.34,0.85,-1.6099999999999999,-25.0,165.65
69,3.79,-3.36,1.6800000000000002,-0.56,-8.53,153.43,-3.36,1.23,-1.27,-19.6,159.87
70,3.85,-3.49,1.53,-0.5,-7.46,156.36,-3.49,1.13,-1.15,-17.37,162.12
71,3.9699999999999998,-3.71,1.34,-0.49,-7.07,160.09,-3.71,0.97,-1.05,-15.37,165.4
72,3.98,-3.77,1.13,-0.61,-8.8,163.36,-3.77,0.72,-1.06,-15.44,169.2
